ID,Person,Survey_Type,Score,Comment,Permalink,Created_At,Updated_At
124753871,610912370,nps,10,Simple to use,https://app.delighted.com/r/3W4dCmqHgxOJbRG3fpdME3gqmF8GReoQ,05/07/2020 18:43:30,05/07/2020 18:43:42
124755172,610912793,nps,10,Great website,https://app.delighted.com/r/S7aGjCj70PyzZLSjXGtGBnE6QFVOrm7M,05/07/2020 18:54:38,05/07/2020 18:54:50
124755523,610912679,nps,10,,https://app.delighted.com/r/VzXI4103idaBHlROofwdl0FY80Tn8XcS,05/07/2020 18:58:03,05/07/2020 18:58:03
124755578,610912138,nps,10,,https://app.delighted.com/r/kowI2CUvq9vOBjj3FfZhnkiFUAp5OcK3,05/07/2020 18:58:31,05/07/2020 18:58:31
124756649,610912763,nps,10,,https://app.delighted.com/r/xX7tupCyKHph97hQkyQRRiiYsKARhtKG,05/07/2020 19:08:50,05/07/2020 19:08:50
124757438,610912884,nps,10,Easy,https://app.delighted.com/r/vsDkz3LbPrwQLA6xfY6XJQ3aqPcqWG9c,05/07/2020 19:15:57,05/07/2020 19:16:04
124757473,610912216,nps,10,,https://app.delighted.com/r/dC4QzkrqkjL2gNsKLfmyn8mK6TpO6sAA,05/07/2020 19:16:12,05/07/2020 19:16:12
124758600,610912764,nps,10,it was simple and easy to fill out,https://app.delighted.com/r/QhnYfJu7lmPQ4dz51dUgruVv74b7gDMo,05/07/2020 19:25:58,05/07/2020 19:26:19
124758861,610912715,nps,10,,https://app.delighted.com/r/DZQS9izdIhurTjcKDMw5D7PJ6ROUeNwV,05/07/2020 19:28:41,05/07/2020 19:28:41
124759039,610913124,nps,10,,https://app.delighted.com/r/YxZK3MtcaUZQvJX4lAy3o5pbFazoFH9j,05/07/2020 19:30:36,05/07/2020 19:30:36
124759854,610912904,nps,10,,https://app.delighted.com/r/h14vBzkL0pANuiUkHiD2WnNJkNGMK6gW,05/07/2020 19:38:44,05/07/2020 19:38:44
124762598,610912729,nps,9,,https://app.delighted.com/r/pKIiThOhFNyL8QEV35hs8EkEdLwGAOds,05/07/2020 20:03:21,05/07/2020 20:03:21
124762835,610912483,nps,9,,https://app.delighted.com/r/FkyHXSaLPIZ8XXBtA9d18jJf20nFFfDS,05/07/2020 20:05:36,05/07/2020 20:05:36
124763483,610912177,nps,10,,https://app.delighted.com/r/BYnnv4HEZYosaJ5pRtIrDBVWkfiaoze1,05/07/2020 20:11:29,05/07/2020 20:11:29
124764245,610912971,nps,10,,https://app.delighted.com/r/ayvUSicndYkWOJAzRKbvIDVMBG6aUrBf,05/07/2020 20:18:25,05/07/2020 20:18:25
124765099,610912754,nps,10,,https://app.delighted.com/r/doXB7QYWDA5TN1trDqp4dbeKZ3Qmn1f4,05/07/2020 20:26:06,05/07/2020 20:26:06
124765362,610912488,nps,10,,https://app.delighted.com/r/oxYlBUFz8Xdw5ZWArSDEqE07Ie5YlhFk,05/07/2020 20:28:38,05/07/2020 20:28:38
